bucket_label,n,mean,se
1,418,0.607656,0.023882
2,366,0.803279,0.020779
3,455,0.828571,0.017669
4,348,0.856322,0.018803
5,250,0.792000,0.025670
6,224,0.790179,0.027206
7,157,0.815287,0.030971
8,154,0.857143,0.028198
9,138,0.876812,0.027977
10,123,0.813008,0.035157
11,77,0.896104,0.034772
12,130,0.769231,0.036953
13,33,0.606061,0.085058
14,29,0.793103,0.075222
15,23,0.739130,0.091561
16,23,0.782609,0.086006
17,9,0.555556,0.165635
18,23,0.608696,0.101764
24.5,20,0.350000,0.106654
