bin_left,bin_right,count
0.00,0.05,653
0.05,0.10,209
0.10,0.15,0
0.15,0.20,87
0.20,0.25,0
0.25,0.30,30
0.30,0.35,53
0.35,0.40,0
0.40,0.45,37
0.45,0.50,0
0.50,0.55,17
0.55,0.60,35
0.60,0.65,0
0.65,0.70,26
0.70,0.75,0
0.75,0.80,6
0.80,0.85,11
0.85,0.90,5
0.90,0.95,20
0.95,1.00,20
