scope,pipeline,L,step,mean_nldd,nldd_se,mean_tas_t,tas_t_se,n_clean,bin_status
easy,v6,3,1,,,1.0,0.0,120,ok
easy,v6,3,2,-6.934772892233632,18.477469754238616,0.6988097948269015,0.0069528406615831165,120,ok
easy,v6,3,3,476.6167245649334,201.47120832265736,0.5772310399174911,0.0061178715612332235,120,ok
easy,v6,4,1,,,1.0,0.0,120,ok
easy,v6,4,2,-3.2161288319725156,6.220112973932998,0.679875854193914,0.007135871984300895,120,ok
easy,v6,4,3,-10.87544140450813,9.715478933880231,0.5530204744246853,0.006089000253329705,120,ok
easy,v6,4,4,300.64118767269696,45.489928060170115,0.49652989416873117,0.005326724423387413,120,ok
easy,v6,5,1,,,1.0,0.0,120,ok
easy,v6,5,2,0.31428880517809515,8.303473168386327,0.6954425194300834,0.007151285649513401,120,ok
easy,v6,5,3,9.980001554551988,13.372604913478396,0.553627200651226,0.005846010630276936,120,ok
easy,v6,5,4,-14.055069995012982,14.902964265914353,0.48762914172769084,0.005410036986419414,120,ok
easy,v6,5,5,641.4762704966807,262.7230147093654,0.4418749003299707,0.005172929901819888,120,ok
easy,v6,6,1,,,1.0,0.0,120,ok
easy,v6,6,2,-3.847332199124216,9.49292723473586,0.6751429136782517,0.008492374364075456,120,ok
easy,v6,6,3,-5.647498751727501,10.928754943646204,0.535302530398636,0.0063162022403250445,120,ok
easy,v6,6,4,-38.15518936192923,27.54399844614359,0.4634005230912928,0.005792883852233018,120,ok
easy,v6,6,5,10.208442081213821,33.622099997104534,0.41394665471740216,0.005416373081001598,120,ok
easy,v6,6,6,720.5109080744002,416.16727150176536,0.38475572431506205,0.004939644834039865,120,ok
easy,v6,7,1,,,1.0,0.0,120,ok
easy,v6,7,2,18.81113214419339,7.764590511746204,0.6758532333011339,0.009112224338387733,120,ok
easy,v6,7,3,1.4181539935442307,14.687963607339409,0.5333919381282665,0.006491617826334637,120,ok
easy,v6,7,4,-3.605222317151767,10.384258462105622,0.46343793859034454,0.005417363970878991,120,ok
