L,accuracy,accuracy_se,k_star,mean_tas,tas_se
3,0.2023121387283237,0.030631145539198806,2.914285714285714,0.5813391576781543,0.008582872445398933
4,0.25170068027210885,0.025353975112441002,3.808219178082192,0.5108688465649445,0.0060430966294488615
5,0.26109660574412535,0.022473088514130282,4.530612244897959,0.453711043587124,0.006572705908601933
6,0.23607427055702918,0.021900598052287605,5.384615384615385,0.4061588016560555,0.005991073072857939
7,0.2247557003257329,0.02386238976746577,6.491525423728813,0.35684922791672363,0.0051308743293291305
8,0.27488151658767773,0.030808291124780323,7.163265306122449,0.3184559291506689,0.0057762751867521545
9,0.28735632183908044,0.03440515707228721,8.333333333333334,0.2983395350770072,0.006267871271333016
